ETF代码,ETF名称,基金规模,next_crawl_index
513580,恒生科技ETF华安,46.45328658,440
516750,建材ETF富国,0.95438753,440
159125,港股通科技ETF招商,7.49428974,440
561230,中证A50ETF工银,6.43301764,440
159101,港股通科技ETF华夏,28.15276707,440
159688,恒生互联网ETF华安,13.52877119,440
561930,沪深300ETF招商,1.79078123,440
159191,港股通科技ETF易方达,0.80253874,440
159329,沙特ETF南方,12.25743982,440
515970,工程机械ETF华夏,7.34846864,440
512980,传媒ETF广发,46.16067805,440
561990,沪深300增强ETF招商,3.67481309,440
517080,沪港深500ETF汇添富,2.00320656,440
159119,800现金流ETF招商,1.76454663,440
560050,中国A50ETF汇添富,26.81564822,440
562530,中证1000价值ETF华夏,0.48671744,440
561750,A50ETF博时,0.8783512,440
159592,A50ETF银华,9.66480166,440
563080,中证A50ETF易方达,15.8828847,440
563090,上证50增强ETF易方达,0.62916864,440
510360,沪深300ETF广发,27.8321475,440
510130,上证中盘ETF易方达,2.4680519,440
510310,沪深300ETF易方达,1055.72388499,440
513810,港股国企ETF华夏,0.6244612,440
516610,医疗设备ETF大成,0.9943866,440
517170,沪港深500ETF华夏,0.16599622,440
515130,沪深300ETF博时,1.14150384,440
560820,中证A50ETF新华,0.51321204,440
159791,300ESGETF华夏,0.33823933,440
515730,家居家电ETF永赢,0.36580964,440
159321,黄金股ETF华安,5.90093381,440
159687,亚太精选ETF南方,23.12382301,440
560350,中证A50ETF摩根,13.31026412,440
512380,MSCI中国ETF银华,1.28414686,440
517300,沪港深300ETF国寿,15.01788592,440
516620,影视ETF国泰,1.62228683,440
530180,上证180ETF易方达,0.85061632,440
560120,中证500现金流ETF华夏,9.47635461,440
159891,医疗ETF建信,1.26058032,440
561900,沪深300ESGETF招商,0.27282438,440
159873,医疗设备ETF天弘,2.8930016,440
159898,医疗器械ETF招商,4.88181305,440
560000,智能电车ETF浦银,0.06594503,440
510320,沪深300ETF中金,7.64615757,440
510180,上证180ETF华安,200.97226746,440
159602,中国A50ETF南方,4.62681898,440
159636,港股通科技30ETF工银,264.63508168,440
159717,ESGETF鹏华,0.19874979,440
560260,医疗ETF广发,14.5568211,440
159698,粮食ETF鹏华,9.78957721,440
159865,养殖ETF国泰,61.10999855,440
513220,中概互联ETF招商,5.7501636,440
